2019-12-30 09:56:03,334 [  28137]   INFO - penapi.wm.impl.GlobalMenuLinux - created instance of GlobalMenuLinux for xid=0x120018a 
2019-12-30 09:56:03,381 [  28184]   INFO - rojectCodeStyleSettingsManager - Initialized from default code style settings. 
2019-12-30 09:56:03,634 [  28437]   INFO - j.ide.script.IdeStartupScripts - 0 startup script(s) found 
2019-12-30 09:56:04,056 [  28859]   INFO - .diagnostic.PerformanceWatcher - Post-startup activities under progress took 342ms; general responsiveness: ok; EDT responsiveness: ok 
2019-12-30 09:56:04,277 [  29080]   INFO - ntellij.idea.ApplicationLoader - canDisableInputMethod spent 20 ms, found keyboard layouts: [(gb, xkb), ], result==false 
2019-12-30 09:56:04,397 [  29200]   INFO - .diagnostic.PerformanceWatcher - Pushing properties took 55ms; general responsiveness: ok; EDT responsiveness: ok 
2019-12-30 09:56:04,544 [  29347]   INFO - .diagnostic.PerformanceWatcher - Indexable file iteration took 146ms; general responsiveness: ok; EDT responsiveness: 1/1 sluggish 
2019-12-30 09:56:04,546 [  29349]   INFO - indexing.UnindexedFilesUpdater - Unindexed files update started: 210 files to update 
2019-12-30 09:56:04,668 [  29471]   INFO - pl.ProjectRootManagerComponent - project roots have changed 
2019-12-30 09:56:04,671 [  29474]   INFO - indexing.UnindexedFilesUpdater - Unindexed files update canceled 
2019-12-30 09:56:04,692 [  29495]   INFO - .diagnostic.PerformanceWatcher - Pushing properties took 0ms; general responsiveness: ok; EDT responsiveness: ok 
2019-12-30 09:56:04,694 [  29497]   INFO - tor.impl.FileEditorManagerImpl - Project opening took 1694 ms 
2019-12-30 09:56:04,712 [  29515]   INFO - .diagnostic.PerformanceWatcher - Indexable file iteration took 19ms; general responsiveness: ok; EDT responsiveness: ok 
2019-12-30 09:56:04,714 [  29517]   INFO - indexing.UnindexedFilesUpdater - Unindexed files update started: 210 files to update 
2019-12-30 09:56:05,475 [  30278]   INFO - .diagnostic.PerformanceWatcher - Unindexed files update took 761ms; general responsiveness: ok; EDT responsiveness: ok 
2019-12-30 09:56:09,726 [  34529]   INFO - j.ide.plugins.RepositoryHelper - using cached plugin list (updated at 30/12/2019, 09:55) 
2019-12-30 09:56:09,914 [  34717]   INFO - gnostic.MemorySizeConfigurator - Physical memory 7901M, minimum memory size 128M, -Xmx adjusted from 750M to 987M 
2019-12-30 09:56:09,936 [  34739]   INFO - ge.ExternalProjectsDataStorage - Load external projects data in 1 millis (read time: 1) 
